1, Item1,0
2, Item2,0
3, Item3,0
4, Item4,1
5, Item5,1
6, Item6,1
7, Item7,4
8, Item8,4
9, Item9,4
10, Item10,3
11, Item11,3
12, Item12,3
13, Item13,1
14, Item14,1
15, Item15,2
16, Item16,3
17, Item17,9
18, Item18,21
19, Item19,18
20, Item20,19
21, Item21,11
22, Item22,8
23, Item23,9
24, Item24,
25, Item25,13
26, Item26,5
27, Item27,1
28, Item28,23
29, Item29,2
30, Item30,23
31, Item31,3
32, Item32,12
33, Item33,1
34, Item34,32
35, Item35,2
36, Item36,4
37, Item37,4
38, Item38,5
39, Item39,5
40, Item40,5
